county,pif_residential,pif_commercial,exposure_residential_m,exposure_commercial_m
Alameda,10864.0,829.0,16179.903503,2371.906631
Alpine,370.0,22.0,293.081764,37.758112
Amador,6017.0,169.0,4827.374061,285.126658
Butte,9167.0,224.0,6821.342735,458.731805
Calaveras,10315.0,257.0,8646.153962,341.523446
Colusa,65.0,3.0,39.08094,8.7229
Contra Costa,12609.0,227.0,22437.204064,502.33009
Del Norte,551.0,21.0,314.697923,34.596907
El Dorado,27593.0,572.0,27156.137789,1186.159236
Fresno,5577.0,244.0,4376.863998,514.357942
Glenn,55.0,3.0,29.253258,7.730692
Humboldt,2728.0,116.0,1880.660516,213.852988
Imperial,632.0,29.0,331.00521,57.737126
Inyo,291.0,12.0,211.065469,17.812975
Kern,10983.0,346.0,6137.14109,531.457684
Kings,173.0,6.0,106.20691,9.156337
Lake,5594.0,145.0,3757.636989,190.295257
Lassen,1056.0,8.0,702.212617,10.543481
Los Angeles,147515.0,7212.0,154725.789819,15936.484387
Madera,5483.0,165.0,4138.031899,316.875824
Marin,4151.0,210.0,6622.0487,776.808181
Mariposa,3259.0,145.0,2233.032462,266.001916
Mendocino,4483.0,224.0,3797.318901,351.458441
Merced,300.0,36.0,182.918614,130.46051
Modoc,267.0,23.0,150.043451,27.011895
Mono,1876.0,106.0,1570.91326,387.067814
Monterey,5137.0,265.0,7072.980332,810.708066
Napa,2708.0,333.0,4333.397467,1133.196484
Nevada,22930.0,508.0,25823.544069,1356.277845
Orange,23251.0,494.0,30402.484437,2006.107989
Placer,18670.0,326.0,22047.845236,1023.482268
Plumas,3753.0,188.0,3161.392054,301.850361
Riverside,56170.0,854.0,49440.201962,1820.42125
Sacramento,1877.0,124.0,1440.401243,370.578863
San Benito,375.0,13.0,404.315349,29.897797
San Bernardino,64040.0,1092.0,49627.217443,1854.775079
San Diego,57949.0,1111.0,66987.677498,3042.631439
San Francisco,1861.0,521.0,2914.885296,1632.187601
San Joaquin,1177.0,141.0,798.819207,354.340513
San Luis Obispo,4595.0,176.0,4446.265626,318.069183
San Mateo,3528.0,231.0,5524.332022,650.984683
Santa Barbara,6568.0,339.0,11547.510089,1043.066985
Santa Clara,5915.0,285.0,9303.885021,911.235801
Santa Cruz,12559.0,237.0,17084.227974,579.142298
Shasta,6304.0,201.0,4279.846057,294.235624
Sierra,507.0,34.0,384.318903,45.204046
Siskiyou,3029.0,240.0,2091.926027,306.909454
Solano,1236.0,76.0,1391.024656,179.918634
Sonoma,8254.0,494.0,11232.921987,1303.490467
Stanislaus,685.0,58.0,482.710175,231.701559
Sutter,111.0,7.0,73.536831,41.53903
Tehama,1718.0,65.0,935.417687,70.351164
Trinity,1382.0,58.0,831.396405,66.042682
Tulare,2887.0,79.0,1685.121039,116.014433
Tuolumne,13723.0,347.0,10662.162643,538.733177
Ventura,14609.0,400.0,19799.464769,1298.260149
Yolo,229.0,22.0,188.346947,57.436099
Yuba,1523.0,45.0,1048.996295,41.002581
