fips,total_structures,residential_units,res_replacement_m,com_replacement_m,total_replacement_m,nsi_data_available
6001,461698,405473,150337.7,47300.4,412819.7,True
6003,1011,939,486.6,53.7,902.4,True
6005,17746,15996,3731.8,1324.4,9609.2,True
6007,81108,71778,17107.7,7002.1,49567.9,True
6009,29161,24705,5875.1,1364.2,16505.9,True
6011,8091,6906,1742.2,918.0,5762.7,True
6013,341369,310950,108783.9,22718.1,257160.6,True
6015,11046,9977,2900.5,799.7,7000.4,True
6017,88376,81842,26114.8,4607.5,54381.3,True
6019,299607,267394,70719.3,25634.9,198120.5,True
6021,12474,9569,1997.2,969.5,8586.0,True
6023,54701,50415,12665.2,3487.1,31358.5,True
6025,47876,42918,13027.5,5017.2,36185.8,True
6027,9710,8494,2292.6,664.6,6245.8,True
6029,288989,259633,65271.5,19669.7,186935.1,True
6031,44162,40586,10335.9,2823.8,27268.0,True
6033,39179,36234,7218.6,2102.7,17579.5,True
6035,13427,12189,2814.1,974.2,7383.3,True
6037,2551173,2284781,670860.5,244612.6,1833529.7,True
6039,50338,45545,12222.7,3171.8,32842.9,True
6041,95340,84609,30837.9,7932.5,69686.1,True
6043,9297,8388,2111.4,440.9,4572.9,True
6045,37927,33028,9391.9,3678.3,27296.1,True
6047,89275,74382,18284.4,6094.4,64389.8,True
6049,6935,5734,938.2,573.8,3617.5,True
6051,10443,9462,2265.0,437.5,4937.0,True
6053,124799,110683,33638.3,12845.6,93493.8,True
6055,51940,45739,14586.3,4837.2,41604.9,True
6057,54146,49663,12837.0,2224.1,28463.5,True
6059,884731,791918,244263.5,84958.1,632268.8,True
6061,162074,149560,50450.6,10925.3,113897.0,True
6063,16507,14909,5325.6,1211.3,11552.6,True
6065,792576,728242,199928.9,70755.0,505166.3,True
6067,480121,443240,128558.4,38280.5,319243.3,True
6069,17945,16100,5972.3,1351.6,14441.0,True
6071,680185,624163,157354.9,71512.4,459055.4,True
6073,995327,890567,262172.4,73166.8,676324.2,True
6075,222799,195226,85049.9,23640.2,196471.8,True
6077,230918,210718,58521.1,20765.5,170254.9,True
6079,118956,105860,29474.0,9564.4,74619.4,True
6081,203382,182377,80839.2,22035.7,192947.9,True
6083,137354,123013,34682.2,12456.8,94319.8,True
6085,535601,486346,171010.5,50557.2,427417.9,True
6087,93907,83758,24879.3,7477.1,64311.8,True
6089,78670,68762,14699.7,6280.6,46101.3,True
6091,2267,2011,426.6,112.2,1279.2,True
6093,25639,22883,4521.6,1574.2,13874.2,True
6095,143615,133171,40223.4,11296.4,99746.6,True
6097,185572,167060,49421.5,14253.9,127850.4,True
6099,179560,162293,44827.4,14390.6,123592.9,True
6101,32118,27625,7559.4,2602.3,22090.2,True
6103,27589,25211,5542.4,1402.5,15565.0,True
6105,8794,7647,1466.9,955.5,4646.0,True
6107,148198,132056,31365.0,11611.1,95559.5,True
6109,29013,26609,6386.5,1454.2,15188.6,True
6111,254632,230123,69603.1,20119.1,185309.5,True
6113,58576,52448,17411.4,7321.6,50965.3,True
6115,28351,25888,5866.5,1470.5,15792.8,True
